name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0723,12500,57344,0,0,0.0,1,Running,10451457,10451757,10451459.0
openb-pod-0724,12500,57344,0,0,0.0,1,Running,11259186,11260478,11259188.0
openb-pod-0725,12500,57344,0,0,0.0,1,Running,12678841,12680222,12678842.0
openb-pod-0726,12500,57344,0,0,0.0,1,Running,12096962,12098832,12096996.0
openb-pod-0727,12500,57344,0,0,0.0,1,Running,12524197,12524844,12524234.0
openb-pod-0728,15400,51200,0,0,0.0,1,Running,11923586,11924163,11923620.0
openb-pod-0729,32000,49152,0,0,0.0,2,Running,10680596,10680780,10680601.0
openb-pod-0730,8000,30517,0,0,0.0,2,Running,10424040,10442475,10424040.0
openb-pod-0731,12500,57344,0,0,0.0,1,Running,10451527,10451784,10451560.0
openb-pod-0732,8000,30517,0,0,0.0,2,Running,12068861,12090821,12068861.0
openb-pod-0733,12500,57344,0,0,0.0,1,Running,10119805,10120073,10119839.0
openb-pod-0734,32000,49152,0,0,0.0,2,Running,12568273,12568425,12568276.0
openb-pod-0735,32000,65536,0,0,0.0,1,Running,8962274,12902960,8962277.0
openb-pod-0736,12500,57344,0,0,0.0,1,Running,12531687,12532299,12531689.0
openb-pod-0737,32000,49152,0,0,0.0,2,Running,11957093,11957248,11957096.0
openb-pod-0738,12500,57344,0,0,0.0,1,Running,11312135,11313046,11312168.0
openb-pod-0739,16500,51200,0,0,0.0,1,Running,12544282,12546427,12544284.0
openb-pod-0740,16500,51200,0,0,0.0,1,Running,12544282,12546427,12544284.0
openb-pod-0741,12500,57344,0,0,0.0,1,Running,10896712,10897062,10896747.0
openb-pod-0742,16500,51200,0,0,0.0,1,Running,10419857,10444424,10419890.0
openb-pod-0743,16000,31250,0,0,0.0,1,Running,11922047,11922529,11922050.0
openb-pod-0744,8000,30517,0,0,0.0,2,Running,12504789,12512975,12504789.0
openb-pod-0745,12500,57344,0,0,0.0,1,Running,10798052,10798403,10798056.0
openb-pod-0746,15400,51200,0,0,0.0,1,Running,11401602,11408714,11401609.0
openb-pod-0747,15400,51200,0,0,0.0,1,Running,12630522,12631048,12630523.0
openb-pod-0748,16000,31250,0,0,0.0,1,Running,10941267,10941392,10941271.0
openb-pod-0749,32000,49152,0,0,0.0,2,Running,12498185,12498331,12498188.0
openb-pod-0750,32000,49152,0,0,0.0,2,Running,10586479,10586656,10586485.0
openb-pod-0751,12500,57344,0,0,0.0,1,Running,12694805,12695035,12694840.0
openb-pod-0752,8000,30517,0,0,0.0,2,Running,11374484,11402848,11374486.0
openb-pod-0753,8000,30517,0,0,0.0,2,Running,12843268,12859736,12843269.0
openb-pod-0754,32000,49152,0,0,0.0,2,Running,12452246,12452420,12452252.0
openb-pod-0755,8000,30517,0,0,0.0,2,Running,10797794,10797963,10797794.0
openb-pod-0756,12500,57344,0,0,0.0,1,Running,11513625,11514886,11513658.0
openb-pod-0757,32000,49152,0,0,0.0,2,Running,11460295,11460476,11460299.0
openb-pod-0758,32000,49152,0,0,0.0,2,Running,12794446,12796426,12794450.0
openb-pod-0759,12500,57344,0,0,0.0,1,Running,11333839,11334615,11333841.0
openb-pod-0760,8000,30517,0,0,0.0,2,Running,12152045,12168888,12152047.0
openb-pod-0761,12500,57344,0,0,0.0,1,Running,10392696,10393483,10392698.0
openb-pod-0762,32000,49152,0,0,0.0,2,Running,10586479,10586656,10586485.0
openb-pod-0763,8000,30517,0,0,0.0,2,Running,10769679,10792069,10769683.0
openb-pod-0764,12500,57344,0,0,0.0,1,Running,10896562,10897091,10896564.0
openb-pod-0765,32000,49152,0,0,0.0,2,Running,11128730,11128879,11128733.0
